what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.php.core,2.2.0.v20100616-1900,"org.eclipse.php.core",1333225335244
started,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1333225335246
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20100616-1900,"org.eclipse.php.debug.daemon",1333225335247
started,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1333225335249
started,bundle,org.eclipse.php.server.core,2.2.0.v20100616-1900,"org.eclipse.php.server.core",1333225335251
started,bundle,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui",1333225335254
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1333225335256
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1333225335258
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1333225335260
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1333225335262
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1333225335265
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1333225335267
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1333225335269
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1333225335270
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1333225335272
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1333225335274
started,bundle,org.eclipse.ui.intro.universal,3.2.400.v20100517,"org.eclipse.ui.intro.universal",1333225335274
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1333225335275
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1333225335276
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1333225335278
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1333225335280
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1333225335283
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1333225335335
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1333225335336
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1333225335337
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1333225335339
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1333225335339
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1333225335341
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1333225335342
os,sysinfo,,,"win32",1333225335347
arch,sysinfo,,,"x86",1333225335347
ws,sysinfo,,,"win32",1333225335347
locale,sysinfo,,,"en_US",1333225335347
processors,sysinfo,,,"2",1333225335347
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1333225335347
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1333225335347
java.specification.name,sysinfo,,,"Java Platform API Specification",1333225335347
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333225335347
java.specification.version,sysinfo,,,"1.6",1333225335347
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1333225335347
java.version,sysinfo,,,"1.6.0_20",1333225335347
java.vm.info,sysinfo,,,"mixed mode, sharing",1333225335347
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1333225335347
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1333225335347
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333225335347
java.vm.specification.version,sysinfo,,,"1.0",1333225335347
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1333225335347
java.vm.version,sysinfo,,,"16.3-b01",1333225335347
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1333225348861
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1333225348955
closed,view,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.internal.introview",1333225348990
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333225367169
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333225416858
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1333225417050
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333225435223
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1333225437292
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1333225437324
